name,bio,Duplicate,Remove End,Remove Front,bio_cleaned,Check,Last_Name,Name_in_Bio
"Gagarin, Yuri","WIKIPEDIA EXCERPTYuri Alekseyevich Gagarin  was a Soviet Air Forces pilot and cosmonaut who became the first human to journey into outer space, achieving a major milestone in the Space Race; his capsule, Vostok 1, completed one orbit of Earth on 12 April 1961. Gagarin became an international celebrity and was awarded many medals and titles, including Hero of the Soviet Union, his nation's highest honour.source",1,"WIKIPEDIA EXCERPTYuri Alekseyevich Gagarin  was a Soviet Air Forces pilot and cosmonaut who became the first human to journey into outer space, achieving a major milestone in the Space Race; his capsule, Vostok 1, completed one orbit of Earth on 12 April 1961. Gagarin became an international celebrity and was awarded many medals and titles, including Hero of the Soviet Union, his nation's highest honour.","Yuri Alekseyevich Gagarin  was a Soviet Air Forces pilot and cosmonaut who became the first human to journey into outer space, achieving a major milestone in the Space Race; his capsule, Vostok 1, completed one orbit of Earth on 12 April 1961. Gagarin became an international celebrity and was awarded many medals and titles, including Hero of the Soviet Union, his nation's highest honour.","Yuri Alekseyevich Gagarin was a Soviet Air Forces pilot and cosmonaut who became the first human to journey into outer space, achieving a major milestone in the Space Race; his capsule, Vostok 1, completed one orbit of Earth on 12 April 1961. Gagarin became an international celebrity and was awarded many medals and titles, including Hero of the Soviet Union, his nation's highest honour.",X,Gagarin,FOUND
"Shepard, Alan","WIKIPEDIA EXCERPTRear Admiral Alan Bartlett Shepard Jr. was an American astronaut, naval aviator, test pilot, and businessman. In 1961, he became the first American to travel into space, and in 1971, he walked on the Moon.source",1,"WIKIPEDIA EXCERPTRear Admiral Alan Bartlett Shepard Jr. was an American astronaut, naval aviator, test pilot, and businessman. In 1961, he became the first American to travel into space, and in 1971, he walked on the Moon.","Rear Admiral Alan Bartlett Shepard Jr. was an American astronaut, naval aviator, test pilot, and businessman. In 1961, he became the first American to travel into space, and in 1971, he walked on the Moon.","Rear Admiral Alan Bartlett Shepard Jr. was an American astronaut, naval aviator, test pilot, and businessman. In 1961, he became the first American to travel into space, and in 1971, he walked on the Moon.",X,Shepard,FOUND
"Grissom, Virgil","WIKIPEDIA EXCERPTVirgil Ivan ""Gus"" Grissom was a United States Air Force pilot and a member of the Mercury Seven selected by  National Aeronautics and Space Administration's as Project Mercury astronauts to be the first Americans in outer space. He was a Project Gemini and an Apollo program astronaut. As a member of the NASA Astronaut Corps, Grissom was the second American to fly in Space. He was also the second American to fly in space twice, beaten only by Joe Walker with his sub-orbital X-15 flights.source",1,"WIKIPEDIA EXCERPTVirgil Ivan ""Gus"" Grissom was a United States Air Force pilot and a member of the Mercury Seven selected by  National Aeronautics and Space Administration's as Project Mercury astronauts to be the first Americans in outer space. He was a Project Gemini and an Apollo program astronaut. As a member of the NASA Astronaut Corps, Grissom was the second American to fly in Space. He was also the second American to fly in space twice, beaten only by Joe Walker with his sub-orbital X-15 flights.","Virgil Ivan ""Gus"" Grissom was a United States Air Force pilot and a member of the Mercury Seven selected by  National Aeronautics and Space Administration's as Project Mercury astronauts to be the first Americans in outer space. He was a Project Gemini and an Apollo program astronaut. As a member of the NASA Astronaut Corps, Grissom was the second American to fly in Space. He was also the second American to fly in space twice, beaten only by Joe Walker with his sub-orbital X-15 flights.","Virgil Ivan ""Gus"" Grissom was a United States Air Force pilot and a member of the Mercury Seven selected by  National Aeronautics and Space Administration's as Project Mercury astronauts to be the first Americans in outer space. He was a Project Gemini and an Apollo program astronaut. As a member of the NASA Astronaut Corps, Grissom was the second American to fly in Space. He was also the second American to fly in space twice, beaten only by Joe Walker with his sub-orbital X-15 flights.",X,Grissom,FOUND
"Titov, Gherman","WIKIPEDIA EXCERPTGherman Stepanovich Titov was a Soviet cosmonaut who, on 6 August 1961, became the second human to orbit the Earth, aboard Vostok 2, preceded by Yuri Gagarin on Vostok 1. He was the fourth person in space, counting suborbital voyages of US astronauts Alan Shepard and Gus Grissom.source",1,"WIKIPEDIA EXCERPTGherman Stepanovich Titov was a Soviet cosmonaut who, on 6 August 1961, became the second human to orbit the Earth, aboard Vostok 2, preceded by Yuri Gagarin on Vostok 1. He was the fourth person in space, counting suborbital voyages of US astronauts Alan Shepard and Gus Grissom.","Gherman Stepanovich Titov was a Soviet cosmonaut who, on 6 August 1961, became the second human to orbit the Earth, aboard Vostok 2, preceded by Yuri Gagarin on Vostok 1. He was the fourth person in space, counting suborbital voyages of US astronauts Alan Shepard and Gus Grissom.","Gherman Stepanovich Titov was a Soviet cosmonaut who, on 6 August 1961, became the second human to orbit the Earth, aboard Vostok 2, preceded by Yuri Gagarin on Vostok 1. He was the fourth person in space, counting suborbital voyages of US astronauts Alan Shepard and Gus Grissom.",X,Titov,FOUND
"Glenn, John","WIKIPEDIA EXCERPTJohn Herschel Glenn Jr. was a United States Marine Corps aviator, engineer, astronaut, businessman, and politician. He was the first American to orbit the Earth, circling it three times in 1962. Following his retirement from NASA, he served from 1974 to 1999 as a Democratic United States senator from Ohio, and, in 1998, flew into space again at age 77.source",1,"WIKIPEDIA EXCERPTJohn Herschel Glenn Jr. was a United States Marine Corps aviator, engineer, astronaut, businessman, and politician. He was the first American to orbit the Earth, circling it three times in 1962. Following his retirement from NASA, he served from 1974 to 1999 as a Democratic United States senator from Ohio, and, in 1998, flew into space again at age 77.","John Herschel Glenn Jr. was a United States Marine Corps aviator, engineer, astronaut, businessman, and politician. He was the first American to orbit the Earth, circling it three times in 1962. Following his retirement from NASA, he served from 1974 to 1999 as a Democratic United States senator from Ohio, and, in 1998, flew into space again at age 77.","John Herschel Glenn Jr. was a United States Marine Corps aviator, engineer, astronaut, businessman, and politician. He was the first American to orbit the Earth, circling it three times in 1962. Following his retirement from NASA, he served from 1974 to 1999 as a Democratic United States senator from Ohio, and, in 1998, flew into space again at age 77.",X,Glenn,FOUND
"Carpenter, M.","WIKIPEDIA EXCERPTMalcolm Scott Carpenter was an American naval officer and aviator, test pilot, aeronautical engineer, astronaut, and aquanaut. He was one of the Mercury Seven astronauts selected for NASA's Project Mercury in April 1959. Carpenter was the second American to orbit the Earth and the fourth American in space, after Alan Shepard, Gus Grissom, and Glenn.source",1,"WIKIPEDIA EXCERPTMalcolm Scott Carpenter was an American naval officer and aviator, test pilot, aeronautical engineer, astronaut, and aquanaut. He was one of the Mercury Seven astronauts selected for NASA's Project Mercury in April 1959. Carpenter was the second American to orbit the Earth and the fourth American in space, after Alan Shepard, Gus Grissom, and Glenn.","Malcolm Scott Carpenter was an American naval officer and aviator, test pilot, aeronautical engineer, astronaut, and aquanaut. He was one of the Mercury Seven astronauts selected for NASA's Project Mercury in April 1959. Carpenter was the second American to orbit the Earth and the fourth American in space, after Alan Shepard, Gus Grissom, and Glenn.","Malcolm Scott Carpenter was an American naval officer and aviator, test pilot, aeronautical engineer, astronaut, and aquanaut. He was one of the Mercury Seven astronauts selected for NASA's Project Mercury in April 1959. Carpenter was the second American to orbit the Earth and the fourth American in space, after Alan Shepard, Gus Grissom, and Glenn.",X,Carpenter,FOUND
"White, Robert","WIKIPEDIA EXCERPTAndriyan Nikolayev was a Soviet cosmonaut. In 1962, aboard Vostok 3, he became the third Soviet cosmonaut to fly into space. Nikolayev was an ethnic Chuvash.source",1,"WIKIPEDIA EXCERPTAndriyan Nikolayev was a Soviet cosmonaut. In 1962, aboard Vostok 3, he became the third Soviet cosmonaut to fly into space. Nikolayev was an ethnic Chuvash.",,"Robert Michael ""Bob"" White�was an American�electrical engineer,�test pilot,�fighter pilot, and�astronaut.�He was one of twelve pilots who flew the�North American X-15, an experimental�spaceplane�jointly operated by the Air Force and�NASA. As an engineer, he supervised the design and development of several modern military aircraft.",O,White,FOUND
"Nikolayev, Andriyan","WIKIPEDIA EXCERPTPavel Romanovich Popovich was a Soviet cosmonaut.He was the fourth cosmonaut in space, the sixth person in orbit, and the eighth person in space.source",1,"WIKIPEDIA EXCERPTPavel Romanovich Popovich was a Soviet cosmonaut.He was the fourth cosmonaut in space, the sixth person in orbit, and the eighth person in space.","Pavel Romanovich Popovich was a Soviet cosmonaut.He was the fourth cosmonaut in space, the sixth person in orbit, and the eighth person in space.","Andriyan Nikolayev was a Soviet cosmonaut. In 1962, aboard Vostok 3, he became the third Soviet cosmonaut to fly into space. Nikolayev was an ethnic Chuvash.",X,Nikolayev,FOUND
"Popovich, Pavel","WIKIPEDIA EXCERPTWalter Marty ""Wally"" Schirra Jr., was an American naval aviator, test pilot, and NASA astronaut. In 1959, he became one of the original seven astronauts chosen for Project Mercury, which was the United States' first effort to put human beings into space. On October 3, 1962, he flew the six-orbit, nine-hour, Mercury-Atlas 8 mission, in a spacecraft he nicknamed Sigma 7.  At the time of his mission in Sigma 7, Schirra became the fifth American and ninth human to travel into space. In the two-man Gemini program, he achieved the first space rendezvous, station-keeping his Gemini 6A spacecraft within 1 foot of the sister Gemini 7 spacecraft in December 1965. In October 1968, he commanded Apollo 7, an 11-day low Earth orbit shakedown test of the three-man Apollo Command/Service Module and the first crewed launch for the Apollo program.source",1,"WIKIPEDIA EXCERPTWalter Marty ""Wally"" Schirra Jr., was an American naval aviator, test pilot, and NASA astronaut. In 1959, he became one of the original seven astronauts chosen for Project Mercury, which was the United States' first effort to put human beings into space. On October 3, 1962, he flew the six-orbit, nine-hour, Mercury-Atlas 8 mission, in a spacecraft he nicknamed Sigma 7.  At the time of his mission in Sigma 7, Schirra became the fifth American and ninth human to travel into space. In the two-man Gemini program, he achieved the first space rendezvous, station-keeping his Gemini 6A spacecraft within 1 foot of the sister Gemini 7 spacecraft in December 1965. In October 1968, he commanded Apollo 7, an 11-day low Earth orbit shakedown test of the three-man Apollo Command/Service Module and the first crewed launch for the Apollo program.","Walter Marty ""Wally"" Schirra Jr., was an American naval aviator, test pilot, and NASA astronaut. In 1959, he became one of the original seven astronauts chosen for Project Mercury, which was the United States' first effort to put human beings into space. On October 3, 1962, he flew the six-orbit, nine-hour, Mercury-Atlas 8 mission, in a spacecraft he nicknamed Sigma 7.  At the time of his mission in Sigma 7, Schirra became the fifth American and ninth human to travel into space. In the two-man Gemini program, he achieved the first space rendezvous, station-keeping his Gemini 6A spacecraft within 1 foot of the sister Gemini 7 spacecraft in December 1965. In October 1968, he commanded Apollo 7, an 11-day low Earth orbit shakedown test of the three-man Apollo Command/Service Module and the first crewed launch for the Apollo program.","Pavel Romanovich Popovich was a Soviet cosmonaut.He was the fourth cosmonaut in space, the sixth person in orbit, and the eighth person in space.",X,Popovich,FOUND
"Schirra, Walter","WIKIPEDIA EXCERPTJoseph Albert Walker was an American World War II pilot, experimental physicist, NASA test pilot, and astronaut.  He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.source",1,"WIKIPEDIA EXCERPTJoseph Albert Walker was an American World War II pilot, experimental physicist, NASA test pilot, and astronaut.  He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.","Joseph Albert Walker was an American World War II pilot, experimental physicist, NASA test pilot, and astronaut.  He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA.","Walter Marty ""Wally"" Schirra Jr., was an American naval aviator, test pilot, and NASA astronaut. In 1959, he became one of the original seven astronauts chosen for Project Mercury, which was the United States' first effort to put human beings into space. On October 3, 1962, he flew the six-orbit, nine-hour, Mercury-Atlas 8 mission, in a spacecraft he nicknamed Sigma 7.  At the time of his mission in Sigma 7, Schirra became the fifth American and ninth human to travel into space. In the two-man Gemini program, he achieved the first space rendezvous, station-keeping his Gemini 6A spacecraft within 1 foot of the sister Gemini 7 spacecraft in December 1965. In October 1968, he commanded Apollo 7, an 11-day low Earth orbit shakedown test of the three-man Apollo Command/Service Module and the first crewed launch for the Apollo program.",X,Schirra,FOUND
